oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy
,,,,,,68.061,21.19,,52.323,,
,,,,,,29.34,15.352,,67.675,,
,,,,,,137.137,92.807,,160.482,,
,,,,,,71.367,114.532,,275.015,,
,,,,,,64.27,176.753,,451.767,,
,,,,,,47.293,213.655,,665.422,,
,,,,,,43.932,292.332,,957.754,,
,,,,,,29.894,286.307,,1244.061,,
,,,,,,27.49,341.992,,1586.053,,
,,,,,,11.581,183.684,,1769.737,,
,,,,,,28.001,495.543,,2265.28,,
,,,,,,26.97,610.947,,2876.227,,
,,,,,,20.427,587.513,,3463.74,,
,,,,,,-4.899,-169.693,,3294.046,,
,,,,,,0.212,6.99,,3301.036,,
,,,,,,3.341,110.299,,3411.335,,
,,,,,,-8.104,-276.469,,3134.866,,
,,,,,,-7.402,-232.042,,2902.825,,
,,,,,,16.083,466.863,,3369.688,,
,,,,,,5.634,189.837,,3559.524,,
,,,,,,-2.471,-87.969,,3471.555,,
,,,,,,10.335,358.786,,3830.341,,
,,,,,,0.629,24.106,,3854.447,,
,,,,,,-21.967,-846.713,,3007.734,,
,,,,,,-0.496,-14.904,,2992.83,,
,,,,,,0.18,5.386,,2998.216,,
,,,,,,9.071,271.96,,3270.176,,
,,,,,,4.487,146.733,,3416.909,,
,,,,,,-1.056,-36.087,,3380.822,,
,,,,,,-0.627,-21.184,,3359.638,,
,,,,,,6.607,221.964,,3581.602,,
,,,,,,6.684,239.411,,3821.012,,
,,,,,,7.517,287.242,,4108.255,,
,,,,,,3.577,146.959,,4255.214,,
,,,,,,1.099,46.767,,4301.98,,
,,,,,,-1.446,-62.209,,4239.771,,
,,,,,,0.022,0.923,,4240.694,,
,,,,,,3.939,167.031,,4407.725,,
,,,,,,2.99,131.788,,4539.513,,
,,,,,,3.525,160.016,,4699.529,,
,,,,,,-0.219,-10.27,,4689.259,,
,,,,,,-0.601,-28.195,,4661.064,,
,,,,,,3.341,155.743,,4816.807,,
,,,,,,-0.036,-1.754,,4815.053,,
,,,,,,1.061,51.107,,4866.16,,
,,,,,,6.165,299.977,,5166.137,,
,,,,,,8.697,449.274,,5615.411,,
,,,,,,8.237,462.556,,6077.967,,
,,,,,,1.042,63.353,,6141.32,,
,,,,,,3.137,192.632,,6333.952,,
,,,,,,1.017,64.441,,6398.394,,
,,,,,,-2.047,-130.989,,6267.404,,
,,,,,,2.71,169.837,,6437.241,,
,,,,,,-13.977,-899.706,,5537.535,,
,,,,,,8.255,457.147,,5994.682,,
,,,,,,-6.997,-419.429,,5575.253,,
,,,,,,-5.537,-308.689,,5266.564,,
,,,,,,-1.301,-68.505,,5198.059,,
,,,,,,-6.285,-326.722,,4871.337,,
,,,,,,,,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.023,22.726,0.023,,
,,,,,,0.0,0.0,22.494,0.023,,
,,,,,,200.0,0.047,66.795,0.07,,
,,,,,,583.333,0.407,451.775,0.477,,
,,,,,,129.268,0.616,1025.214,1.093,,
,,,,,,21.277,0.233,1230.666,1.326,,
,,,,,,23.684,0.314,1506.067,1.64,,
,,,,,,60.284,0.989,2387.628,2.628,,
,,,,,,-10.619,-0.279,2110.023,2.349,,
,,,,,,19.802,0.465,2498.48,2.814,,
,,,,,,-37.603,-1.058,1540.318,1.756,,
,,,,,,-66.887,-1.175,503.937,0.581,,
,,,,,,-20.0,-0.116,398.326,0.465,,
,,,,,,277.5,1.291,1485.692,1.756,,
,,,,,,100.0,1.756,2935.835,3.512,,
,,,,,,-24.834,-0.872,2180.336,2.64,,
,,,,,,45.815,1.21,3130.924,3.85,,
,,,,,,-60.121,-2.314,1225.591,1.535,,
,,,,,,-7.576,-0.116,1100.595,1.419,,
